session_id,timestamp_utc,tod_bucket,dow,src_asn,src_cc,src_isp,ip_version,prob_cgnat,port,protocol_label,flow,allowInsecure,server_build,alpn_negotiated,tls_version,cipher_chosen,ja3,ja4,utls_inferred,alpn_offered_set_hash,sni_bucket,cdn_vendor,dest_bucket,tcp_rst_seen,syn_retries,tls_alert_desc,retransmissions,tt_handshake_ms,ttfb_ms,throughput_kbps,session_duration_s,bytes_up,bytes_down,signature_based_match,protocol_state_tracking,heuristic_behavior_score,packet_size_mean,packet_size_std,packet_size_p95,interarrival_mean_ms,interarrival_std_ms,flow_duration_ms,byte_entropy,ascii_ratio_initial32,byte_freq_bin_00_31,byte_freq_bin_32_63,byte_freq_bin_64_95,byte_freq_bin_96_127,byte_freq_bin_128_159,byte_freq_bin_160_191,byte_freq_bin_192_223,byte_freq_bin_224_255,connection_pattern_bucket,payload_to_header_ratio,dns_qname_bucket,dns_rcode,dns_ttl_s,ttl_mean,fragmentation_seen,label_success,hist_success_rate_by_bucket,hist_success_rate_by_sni,hist_success_rate_by_port,hist_success_rate_by_ja3,ratio_handshake_totaldelay,ema_throughput_kbps_24h,onehot_morning,onehot_noon,onehot_evening,onehot_midnight
8bee3d783c03,2026-03-15T14:40:31Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,2,108.931,108.931,3.035,33.228,72767,12604,1,reset,0.45,694.073,839.793,2688.0,272.359,2067.326,33228.0,7.1574,0.25,0.2871,0.0918,0.1035,0.084,0.1035,0.125,0.0996,0.1055,interactive,11.9064,not_observed,not_observed,not_observed,55.024,False,0,0.0,0.0,0.0,0.0,1.0,5.581,0,1,0,0
1905e43ce730,2026-03-15T14:40:32Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,126.968,126.968,13.788,19.364,11563,33375,1,reset,0.35,534.976,567.373,1380.0,233.305,1460.579,19364.0,7.4973,0.2812,0.1758,0.1426,0.1289,0.1074,0.0996,0.1211,0.123,0.1016,interactive,8.8943,not_observed,not_observed,not_observed,56.19,False,0,0.0,0.0,0.0,0.0,1.0,7.222,0,1,0,0
01c620275d33,2026-03-15T14:40:32Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,115.081,115.081,4.603,19.253,6460,11077,1,reset,0.35,407.837,525.224,1380.0,458.398,2628.42,19253.0,7.0884,0.25,0.3398,0.1016,0.0898,0.0918,0.0801,0.0801,0.1016,0.1152,interactive,6.4451,not_observed,not_observed,not_observed,55.442,False,0,0.0,0.0,0.0,0.0,1.0,6.698,0,1,0,0
5dfdcc6c29f3,2026-03-15T14:40:36Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,123.465,123.465,3.514,27.842,13057,12229,1,reset,0.35,526.792,689.48,1736.65,592.38,3615.025,27842.0,7.0172,0.3125,0.3145,0.1191,0.0684,0.1191,0.1016,0.082,0.1113,0.084,interactive,8.7304,not_observed,not_observed,not_observed,55.0,False,0,0.0,0.0,0.0,0.0,1.0,6.061,0,1,0,0
9e269fb158c3,2026-03-15T14:40:44Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,23,124.768,124.768,916.494,20.024,80094,2293984,1,reset,0.45,1026.85,546.47,1380.0,8.664,174.518,20024.0,7.1344,0.2188,0.3086,0.1035,0.0938,0.0898,0.1211,0.0918,0.1211,0.0703,interactive,18.3239,not_observed,not_observed,not_observed,61.862,False,0,0.0,0.0,0.0,0.0,1.0,188.148,0,1,0,0
b5771cc4ad94,2026-03-15T14:40:45Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,3,118.652,118.652,9.971,18.798,17712,23430,1,reset,0.45,534.312,649.152,1603.8,247.34,1318.377,18798.0,7.2846,0.3125,0.2441,0.1211,0.0996,0.1484,0.1055,0.1016,0.1016,0.0781,interactive,8.7159,not_observed,not_observed,not_observed,56.312,False,0,0.0,0.0,0.0,0.0,1.0,152.513,0,1,0,0
745a83ac63df,2026-03-15T14:40:45Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,1,126.374,126.374,6.146,19.265,23330,14800,1,reset,0.45,356.355,518.84,1380.0,181.741,1100.461,19265.0,7.3247,0.3438,0.2324,0.1465,0.1094,0.1074,0.0898,0.1133,0.1094,0.0918,interactive,5.436,not_observed,not_observed,not_observed,55.327,False,0,0.0,0.0,0.0,0.0,1.0,123.24,0,1,0,0
17126ca789b8,2026-03-15T14:40:45Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,4,124.927,124.927,8.809,18.805,28936,20706,1,reset,0.45,517.104,694.15,1932.0,197.947,802.69,18805.0,7.0882,0.1875,0.3301,0.1094,0.082,0.127,0.1055,0.1113,0.0684,0.0664,interactive,8.4238,not_observed,not_observed,not_observed,55.5,False,0,0.0,0.0,0.0,0.0,1.0,100.354,0,1,0,0
b6aede02f005,2026-03-15T14:40:45Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,4,123.91,123.91,27.251,18.802,26154,64047,1,reset,0.45,609.466,687.219,1536.15,127.908,884.517,18802.0,6.9004,0.25,0.3711,0.1094,0.0723,0.1152,0.0742,0.082,0.1016,0.0742,interactive,10.1618,not_observed,not_observed,not_observed,56.324,False,0,0.0,0.0,0.0,0.0,1.0,85.733,0,1,0,0
af59fe8fe174,2026-03-15T14:40:46Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,2097,vless-tcp-tls,not_applicable,False,xray-core 1.8.24,not_observed,TLS 1.3,not_observed,not_observed,t13d1516h2_8daaf6152771_d8a2da3f94cd,not_observed,not_observed,ourbluesky_front,Origin,ourbluesky_front,True,0,not_observed,0,119.125,119.125,2.21,18.442,3786,5094,1,reset,0.35,296.0,411.542,1380.0,635.921,3058.081,18442.0,7.1589,0.25,0.2969,0.1328,0.0879,0.1465,0.0918,0.0938,0.0801,0.0703,interactive,4.2941,not_observed,not_observed,not_observed,55.467,False,0,0.0,0.0,0.0,0.0,1.0,69.028,0,1,0,0
